Songs,Band
Sleepin very soundly on a Saturday morning I was dreamin I was Al Capone Rumor goin round gotta clear outta town Smellin like a dry fish bone Here come the law gonna break down the door Gonna tear me away once more Never never never want it any more Gotta get away from the stone cold law Crazy Stone cold crazy yeah Rainy afternoon got a killer typhoon Playin on my saxaphone Anymore anymore cannot take it anymore Gotta get away from the stone cold law Crazy Stone cold crazy lets go Walkin down the street Shootin people that I meet Fully loaded Tommy gun Here come the deputy tryin fuckin gettin me Gotta fuckin get up and run They got the sirens loose I run right outta juice They re gonna put me in a cell if I can t go to hell Lemme go to hell Crazy Stone cold crazy yeah,Metallica
Only way to feel the noise is when it s good and loud So good I can t believe it screaming with the crowd Don t sweat it we ll get it back to you Don t sweat it we ll get it back to you Overkill overkill overkill On your feet you feel the beat it goes straight to your spine Shake your head you must be dead if it don t make you fly Don t sweat it we ll get it back to you Don t sweat it we ll get it back to you Overkill overkill overkill Know your body s made to move ya feel it in your guts Rock n roll ain t worth the name if it don t make a strut Don t sweat it we ll get it back to you Don t sweat it we ll get it back to you Overkill overkill overkill,Metallica
 originally recorded by Motorhead Huh I see that nothing s changed Insist on playing games Some waste of time you are And you re so popular Well this is it you bitch I ve got to make my switch I m just another john I know what s going on Your move What do I have to lose? Stalemate No too late too late I thought you was for real But you re a rip-off deal Don t give me all that crap I just escaped your trap I think you see the joke But you re just chasing smoke You ain t another one I know what s going on Your move What do I have to lose? Stalemate Oh no too late too late Ooh Get on with it Misunderstanding me The way you feel so free I m gonna jump the gun Ooh I m gonna hit and run Your credibility Don t cut no ice with me Another privilege gone I know what s going on Your move What do I have to lose? Stalemate Oh no too late too late Ooh too late too late aaah ,Metallica
Mama she has taught me well Told me when I was young Son your life s an open book Don t close it fore its done The brightest flame burns quickest That s what I heard her say A son s heart s owed to mother But I must find my way Let my heart go Let your son grow Mama let my heart go Or let this heart be still Yeah still Rebel my new last name Wild blood in my veins Apron strings around my neck The mark that still remains Left home at an early age Of what I heard was wrong I never asked forgiveness But what is said is done Let my heart go Let your son grow Mama let my heart go Or let this heart be still Never I ask of you But never I gave But you gave me your emptiness that I ll take to my grave Never I ask of you But never I gave But you gave me your emptiness that I ll take to my grave So let this heart be still Mama now I m coming home I m not all you wished of me A mother s love for her son Unspoken and maybe Yeah I took your love for granted And all the things you said to me I need your arms to welcome me But a cold stone s all I see Let my heart go Let your son grow Mama let my heart go Or let this heart be still Let my heart go Mama let my heart go You never let my heart go So let this heart be still Never I ask of you But never I gave But you gave me your emptiness that I ll take to my grave Never I ask of you But never I gave But you gave me your emptiness that I ll take to my grave So let this heart be still,Metallica
Mama she has taught me well Told me when I was young Son your life s an open book Don t close it fore its done The brightest flame burns quickest That s what I heard her say A son s heart s owed to mother But I must find my way Let my heart go Let your son grow Mama let my heart go Or let this heart be still Yeah still Rebel my new last name Wild blood in my veins Apron strings around my neck The mark that still remains Left home at an early age Of what I heard was wrong I never asked forgiveness But what is said is done Let my heart go Let your son grow Mama let my heart go Let this heart be still Never I ask of you But never I gave But you gave me your emptiness that I ll take to my grave Never I ask of you But never I gave But you gave me your emptiness that I ll take to my grave So let this heart be still Mama now I m coming home I m not all you wished of me A mother s love for her son Unspoken and maybe Yeah I took your love for granted And all the things you said to me I need your arms to welcome me But a cold stone s all I see Let my heart go Let your son grow Mama let my heart go Let this heart be still Let my heart go Mama let my heart go You never let my heart go So let this heart be still Never I ask of you But never I gave But you gave me your emptiness that I ll take to my grave Never I ask of you But never I gave But you gave me your emptiness that I ll take to my grave Let this heart be still,Metallica
So fucking what Well I ve been to Hastings and I ve been to Brighton I ve been to Eastbourne too So what so what And I ve been here I ve been there I ve been every fucking where So what so what So what so what you boring little cunt Well who cares who cares what you do Yeah who cares who cares about you you you you you Well I ve fucked the queen I ve fucked Bach I ve even sucked an old man s cock So what so what And I ve fucked a sheep I ve fucked a goat I rammed my cock right down its throat So what so what So what so what you boring little fuck Well who cares who cares what you do And who cares who cares about you you you you you And I ve drunk that I ve drunk this I ve spewed up on a pint of piss So what so what I ve had scank I ve had speed I ve jacked up until I bleed So what so what So what so what you boring little cunt Well who cares who cares what you do Yeah who cares who cares about you you you you you you A-hahaha Yeah I ve had crabs I ve had lice I ve had the clap and that ain t nice So what so what I ve fucked this I ve fucked that I ve even fucked a school girl s twat So what so what So what so what you boring little fuck Well who cares who cares what you do And who cares who cares about you you you you you you So fucking what Yeah,Metallica
Make his fight on the hills in the early day Constant chill deep inside Shouting gun on they run through the endless gray On they fight for their right yes but who s to say? For a hill men would kill why? They do not know ? wounds test their pride Men of five still alive through the raging glow Gone insane from the pain and they surely know For whom the bell tolls Time marches on For whom the bell tolls Take a look to the sky just before you die It is the last time he will Blackened roar massive roar fills the crumbling sky Shattered goal fills his soul with a ruthless cry Stranger now are his eyes to this mystery He hears the silence so loud Crack of dawn all is gone except the will to be Now they see what will be blinded eyes to see For whom the bell tolls Time marches on For whom the bell tolls,Metallica
Clock strikes twelve and moon drops burst Out at you from their hiding place Like acid and oil on a madman s face His reasons tend to fly away Like lesser birds on the four winds yeah Like silver scrapes in May Now the sands become a crust And most of you have gone away hm yeah gone away Come Susy dear let s take a walk Just out there upon the beach I know you ll soon be married And you want to know where the winds come from Well it s never said at all On the map that Carrie reads Behind the clock back there you know At the four winds bar hm yeah Hey hey hey hey Four winds at the four winds bar Two doors locked and windows barred One door let to take you in The other one just mirrors it Hey hey yeah hey hey In hellish glare and inference The other one s a duplicate The queenly flux eternal light Or the light that never warms Yes the light that never never warms Yes the light that never never warms Never warms never warms The clock strikes twelve and moon drops burst Out at you from their hiding place Miss Carrie nurse and Suzy dear Would find themselves at the four winds bar It s the nexus of the crisis The origin of storms Just the place to hopelessly Encounter time and then came me Hey hey hey hey Call me Desdenova eternal light These gravely digs of mine Will surely prove a sight And don t forget my dog fixed and consequent Astronomy a star Astronomy a star Astronomy a star Astronomy a star Astronomy,Metallica
 Originally recorded by Blitzkrieg Let us have peace let us have life Let us escape the cruel night Let us have time let the sun shine Let us beware the deadly sign The day is coming Armageddon s near Inferno s coming Can we survive the blitzkrieg? The blitzkrieg The blitzkrieg Save us from fate save us from hate Save ourselves before it s too late Come to our need hear our plea Save ourselves before the earth bleeds The day is dawning The time is near Aliens calling Can we survive the blitzkrieg? Haha Burp Hahaha I fucked up one place ,Metallica
Breadfan Open up your mind Open up your purse Open up your vault Never never gonna lose it Breadfan Take it all away Never give an inch Gotta make a mint Gotta make me a million Breadfan You got it wrong Some long time friend s gonna lose it In the end who s a fool Seagull Give it all away Stay a bird Stay a man Stay a ghost Stay what you wanna be Loser Give it all away Never stay with the winner With the man With all the filthy money Come on Keep it on the side With a ride On a record on the top If you re gonna be a bad boy Breadfan You got it wrong Some long time friend s gonna lose it In the end who s a fool Seagull Give it all away Stay a bird Stay a man Stay a ghost Stay what you wanna be Breadfan Open up your mind Open up your purse Open up your bones Never never gonna lose it Breadfan Take it all away Never give an inch Gotta make a mint Gotta make me a million Breadfan You got it wrong Some long time friend s gonna lose it In the end who s a fool Seagull Give it all away Stay a bird Stay a man Stay a ghost Stay what you wanna be Mommy where s Fluffy?,Metallica
Hey babe don t act so scared All I want is some special care On the run from some institution All I want is some constellation And I can tell by his face I m a total disgrace Put me inside this place Move over for a damage case Hey babe wait a minute stop Don t run away don t call a cop I ain t looking to victimize you All I want to do is tantalize you I can tell by your face I m all over this place And I can tell by your face Got no time for a damage case No time baby Hey babe don t turn away I m here tomorrow gone today I don t know what you think your game is I don t care of what your name is And I can tell by his face You re all over the place And I can tell by his face Move over for a damage case Get the fuck over man All right,Metallica
Die die die my darling Don t utter a single word Die die die my darling Just shut your pretty eyes I ll be seeing you again Yeah I ll be seeing you in hell So don t cry to me oh baby Your future s in an oblong box Don t cry to me oh baby You should have seen it a-comin on Don t cry to me oh baby Had to know it was in your power Don t cry to me oh baby Dead-end goal for a dead-end girl Don t cry to me oh baby And now your life drains on that floor Don t cry to me oh baby Die die die my darling Don t utter a single word Die die die my darling Just shut your pretty mouth I ll be seeing you again I ll be seeing you in hell Don t cry to me oh baby Your future s in an oblong box Don t cry to me oh baby You should have seen it a-comin on Don t cry to me oh baby Had to know it was in your power Don t cry to me oh baby Dead-end goal for a dead-end girl Don t cry to me oh baby Now your life drains on that floor Don t cry to me oh baby Die die die my darling Don t utter a single word Die die die my darling Shut your pretty mouth I ll be seeing you again I ll be seeing you in hell Die die die Die die die Die die die Die,Metallica
I m gonna be a rock and roll star Gotta groove from night to day Gotta blow my honey jar Gonna blow my blues away I m gonna make a stand Gonna make a million Gonna make it with you I m gonna be wild my friend I gotta push it through Oh yeah It s electric It s electric Yeah It s electric yeah It s electric whoa yeah I stop on red but I leave on amber Danger paves my way I m gonna make it my friend Gonna make it today Gonna get this dust from my heels Down the highway I go Gonna get the stars from my brow Make it in a rock and roll show Oh yeah Yeah it s electric It s electric Yo it s electric yeah It s electric Whoa I stop on red but I leave on amber Danger paves my way I m gonna make it my friend Gonna make it today Gonna get this dust from my heels Down the highway I go Gonna get the stars from my brow Make it in a rock and roll show Oh It s electric yeah It s electric Yeah it s electric yeah It s electric Yeah it s electric It s electric Yo Whoa Yeah ,Metallica
Sound of gunfire comes through the night Killing and hatred it s a terrible sight Reports come in of the heavy attack Message is seen we re moving back Preparations are made for the journey back It s a survival supplies are packed No more nights in this eternal hell Destination is simple we move out Killing time - you left from the line Killing time - your turn to kill Killing time - what do you say? Killing time - aha killing time And he knew what he needed to keep us alive No time for cowardice kill and survive Like a killer kid with a switchblade knife Nasty word he ll take your life The silence is over they attack again Killing and hatred drive me insane Reports come in of a heavy attack Message is seen we re moving back Killing time - you left from the line Killing time - your turn to kill Killing time - what do you say? Killing time - aha killing time Sound of gunfire comes through the night Killing and hatred it s a terrible sight Reports come in of a heavy attack Message is seen we re moving back And he knew what he needed to keep us alive No time for cowardice kill and survive Like a killer kid with a switchblade knife Nasty word he ll take your life Killing time - you left from the line Killing time - your turn to kill Killing time - what do you say? Killing time - aha killing time,Metallica
They re walking by the night The moon has frozen blue Long black coats a shelter for the rain Their load must get through Now bats are leaving their trees They re joining the call Seven satanic Hell preachers heading for the hall Bringing the blood of a newborn child Got to succeed if not it s Satan s fall Way out in Egypt in the valley of kings Where the mummified pharaohs Pretend dead in their sleep Don t touch never ever steal Unless you re in for the kill Or you ll be hit by the curse of the pharaohs Yes you ll be hit and the curse is on you The curse of the pharaohs can be so deadly Just destroying your future Makin it all shady Don t touch never ever steal Unless you re in for the kill for the kill Or you ll be hit by the curse of the pharaohs Yes you ll be hit and the curse is on you Listen I m a corpse I m a corpse I m a corpse without soul Satan he s taken he s taken He s taken his toll And he took it on me I I m trapped I m trapped I m trapped in his spell Tonight I m going I m going I m going to Hell inside his spell Howl like a wolf And a witch will open the door Follow me and meet our high priestess Come come into my coven And become Lucifer s child Undress until you re naked And put on this white coat Take this white cross and go to the center of the ring Come come into my coven And become Lucifer s child I was born on the cemetery Under the sign of the moon Raised from my grave by the dead And I was made a mercenary In the legions of Hell Now I m king of pain I m insane You know my only pleasure Is to hear you cry I d love to hear you cry I d love to see you die And I ll be the first To watch your funeral And I ll be the last to leave I d love to hear you cry And when you re down beyond the ground I ll dig up your body again And make love to shame Oh lady cry and say goodbye goodbye Oh lady cry and say goodbye You ve gotta say goodbye Cause I will eat your mind,Metallica
Feel so good I feel so fine Love that little lady always on my mind She gives me lovin every night and day Never gonna leave her Never going away Someone to love me You know she makes me feel alright Someone to needs me Love me every single night Feel so happy since I met that girl When we re making love It s something out of this world Feels so good to know that she s all mine Going to love that woman till the end of time Someone to live for Love me till the end of time She make me feel happy Good to know that she s all mine I am the world that hides The universal secret of all time Destruction of the empty spaces Is my one and only crime I ve lived a thousand times I found out what it means to be believed The thoughts and images The unborn child that never was conceived Ya gotta believe me Hey I m talking to you Well I know its hard for you To know the reason why And I know you ll understand More when it s time to die Don t believe the life you have Will be the only one You have to let your body sleep To let your soul live on Ha ha Whoa Feel so happy since I met that girl When we re making love It s something out of this world Feels so good to know that she s all mine Going to love that woman till the end of time Someone to live for Love me till the end of time She make me feel happy Good to know that she s all mine She s all mine yeah Yo-oh yeah,Metallica
Get on Think you see me In the glass Think you hear me Better listen fast Think I see you Gone to seed Think your reason Is your guilt and greed You re out there on your own Your face turned to stone What ever happened to your life? Stone dead forever All right You re a financial wizard Yeah a top tycoon You re a sweet long lizard With a silver spoon You know you ve never had it Quite so good And you didn t know That you even could Your time has come to own Your touch turned to gold What ever happened to your life? Stone dead forever All right It s been a long time It s been a long long wait And you caught your fingers In the pearly gates You better leave your number And we ll call you You know your problem Ain t exactly new Your time has come today Your face has turned to hey What ever happened to your life? Stone dead forever That s right,Metallica
I see that nothin s safe Insist on playing games Some waste their time and more I am still popular Permission since you fix I got to gas -- get Or just another job Oh no surly not Your rude but you re absolute Stalemate ahh too late too late I thought you were for real Just won the river deal Don t give me all that crap I just escaped your trap But didn t you see the joke Then you re just chasin smoke You found another one An old story s done Your rude but you re absolute Stalemate ahh too late too late Misunderstanding me The way you felt so free I m gonna jump the gun I m gonna cut an run You re gonna do it see I ve got no ice in me And now the thrill is gone An old story s done Your rude but you re absolute Stalemate ahh too late too late,Metallica
Hey you guys ready? One two three one two three Train roll on on down the line Won t you please take me far far away Now I feel the wind blow outside my door I m leavin my woman at home oh yeah My baby s gone Tuesday s gone with the wind My baby s gone gone with that wind Long Gone Gary Pepper And I don t know oh where I m goin I just want to be left alone When this train ends I ll try again I m leavin my woman at home My baby s gone Tuesday s gone with the wind oh yeah Tuesday s gone with the wind Tuesday s gone with the wind My baby s gone with the wind Train roll on Jean paul Tuesday s gone with the wind Tuesday s gone with the wind Tuesday s gone with the wind My baby s gone with the wind Train roll on Train roll on many miles from my home See I m I m ridin my blues babe blues away yeah But Tuesday you see oh she had to be free Somehow I got to to carry on My baby s gone Tuesday s gone with the wind Tuesday s gone with the wind Tuesday s gone Tuesday s gone with the wind My baby s gone with the wind Train roll on train roll on Ride on train ride on train ride on train Train roll on train rolls on The train it rolls on Train rolls on train rolls on Lord I can t change I can t change Lord I can t change I can t change Lord I can t change Lord I can t change I can t change Train roll on Ride on train I can t change Train roll on Ride on train Lord I can t change no I can t change Ride on Train Thanks Gar right on thanks pop thanks Pat thanks Ger Thank you Het Thanks Les thanks Fatso thank you everyone that was nice Thank ya thank ya thank ya thank ya everybody Hey let s let s do that again ,Metallica
As I was goin over The Cork and Kerry Mountains I saw Captain Farrell And his money he was countin I first produced my pistol And then produced my rapier I said Stand and deliver or the devil he may take ya I took all of his money And it was a pretty penny I took all of his money Yeah and I brought it home to Molly She swore that she loved me No never would she leave me But the devil take that woman Yeah for you know she tricked me easy Musha rain dum a doo dum a da Whack for my daddy oh Whack for my daddy oh There s whiskey in the jar oh Being drunk and weary I went to Molly s chamber Takin Molly with me But I never knew the danger For about six or maybe seven Yeah in walked Captain Farrell I jumped up fired my pistols And I shot him with both barrels Yeah musha rain dum a doo dum a da ha yeah Whack for my daddy oh Whack for my daddy oh There s whiskey in the jar oh Yeah whiskey yo whiskey Oh oh yeah Oh oh yeah Now some men like a fishin But some men like the fowlin Some men like to hear To hear the cannonball roarin Me I like sleepin Specially in my Molly s chamber But here I am in prison Here I am with a ball and chain yeah Musha rain dum a doo dum a da heh heh Whack for my daddy oh Whack for my daddy oh There s whiskey in the jar oh yeah Whiskey in the jar oh Musha rain dum a doo dum a da Musha rain dum a doo dum a da hey Musha rain dum a doo dum a da Musha rain dum a doo dum a da yeah,Metallica
Originally performed by The Misfits Die die die my darling Don t utter a single word Die die die my darling Just shut your pretty eyes I ll be seeing you again Yeah I ll be seeing you in hell So don t cry to me oh baby Your future s in an oblong box Don t cry to me oh baby You should have seen it a-coming on Don t cry to me oh baby I don t know it was in your card Don t cry to me oh baby Dead-end soul for a dead-end girl Don t cry to me oh baby And now your life drains on the floor Don t cry to me oh baby Die die die my darling Don t utter a single word Die die die my darling Just shut your pretty mouth I ll be seeing you again I ll be seeing you in hell,Metallica
My mother was a witch she was burned alive Thankless little bitch for the tears I cried Take her down now don t want to see her face All blistered and burnt can t hide my disgrace Twenty-seven everyone was nice Gotta see em make em pay the price See their bodies out on the ice Take my time Am I evil? Yes I am Am I evil? I am man yes I am As I watched my mother die I lost my head Revenge now I sought to break with my bread Taking no chances you come with me I ll split you to the bone help set you free Twenty-seven everyone was nice Gotta see em make em pay the price See their bodies out on the ice Take my time Am I evil? Yes I am Am I evil? I am man yes I am On with the action now I ll strip your pride I ll spread your blood around I ll see you ride Your face is scarred with steel wounds deep and neat Like a double dozen before ya smells so sweet Am I evil? Yes I am Am I evil? I am man I ll make my residence I ll watch your fire You can come with me sweet desire My face is long forgot my face not my own Sweet and timely whore take me home Am I evil? Yes I am Am I evil? I am man My soul is longing for await my heir Sent to avenge my mother sweep myself My face is long forgot my face not my own Sweet and timely whore take me home Am I evil? Yes I am Am I evil? I am man Am I evil? Yes I fucking am Am I evil? I am man yeah ,Metallica
So f***ing what Well I ve been to Hastings and I ve been to Brighton I ve been to Eastbourne too So what so what And I ve been here I ve been there I ve been every f***ing where So what so what So what so what you boring little c*** Well who cares who cares what you do Yeah who cares who cares about you you you you you Well I ve f***ed the queen I ve f***ed Bach I ve even sucked an old man s c*** So what so what And I ve f***ed a sheep I ve f***ed a goat I rammed my c*** right down its throat So what so what So what so what you boring little f*** Well who cares who cares what you do And who cares who cares about you you you you you And I ve drunk that I ve drunk this I ve spewed up on a pint of piss So what so what I ve had scank I ve had speed I ve jacked up until I bleed So what so what So what so what you boring little c*** Well who cares who cares what you do Yeah who cares who cares about you you you you you you A-hahaha Yeah I ve had crabs I ve had lice I ve had the clap and that ain t nice So what so what I ve f***ed this I ve f***ed that I ve even f***ed a school girl s twat So what so what So what so what you boring little f*** Well who cares who cares what you do And who cares who cares about you you you you you you So f***ing what Yeah,Metallica
Sleeping very soundly on a Saturday morning I was dreaming I was Al Capone There s rumor going round gotta clear outta town I m Smelling like a dry fish bone Here comes the law gonna break down the door Gonna carry me away once more Never never never want it any more Gotta get away from this stone cold floor Crazy Stone cold crazy you know Rainy afternoon I got a blow a typhoon Playing on my slide trombone Anymore anymore cannot take it anymore Gotta get away from this stone cold floor Crazy Stone cold crazy you know Walking down the street Shooting people that I meet Fully loaded tommy gun Here comes the deputy try fuckin gettin me Gotta fuckin get up and run They got the sirens loose I run right outta juice They re gonna put me in a cell if I can t go to heaven Will they let me go to hell? Crazy Stone cold crazy you know,Metallica
Don t you leave me Father Time Take me with you Tell me does your sun still shine Come squeeze the world and drip it down my throat oh yeah Down my throat again woooah You got to breathe man breathe Coming up for air Breathe man breathe Coming up for air Touch me so I think I m here Skin my senses Barely breathing Minus human Please squeeze the world and drip it down my throat again Down my throat again woooah You got to breathe man breathe Coming up for air Breathe man breathe Coming up for air You got to breathe man breathe Coming up for air Breathe man breathe Coming up for ,Metallica
Messenger of fear in sight Dark deception kills the light Hybrid children watch the sea Pray for father roaming free Fearless wretch Insanity He watches Lurking beneath the sea Great old one Forbidden site He searches Hunter of the shadows is rising Immortal In madness you dwell Not dead which eternal lie Stranger eons death may die Drain you of your sanity Face the thing that should not be Fearless wretch Insanity He watches Lurking beneath the sea Great old one Forbidden site He searches Hunter of the shadows is rising ha ha Immortal In madness you dwell oh my God In madness you dwell Fearless wretch Insanity He watches Lurking beneath the sea Great old one Forbidden site He searches Hunter of the shadows is rising ha ha Immortal In madness we dwell Face the thing that should not be Thank you,Metallica
Ow Yeah we did it It s on fire Yeah we did it We are ready to rock this Yeah we did it Uh uh ye got Metallica in here Yeah we did it Ja rule Swiss the Monster Let s go Just when you thought it was over Just when you thought we were done Just when you thought it was safe now We did it did it again Just when you thought it was over Just when you thought we were done Just when you thought it was safe now We did it did it again I love fast cars fast brauds Cause I m a rockstar baby Born in the U S A I m gonna hit the highway on my Harley do about 38 Nothin else but take it easy Any woman that won t please me I ll give her up Anythin that won t touch or move me I ll give it up And I know you re all serious We did it did it again More than this nevermore you whippin boy Yeah we did it More than this nevermore you whippin boy Yeah we did it let s go Just when you thought it was over Just when you thought we were done Just when you thought it was safe now We did it did it again Just when you thought it was over Just when you thought we were done Just when you thought it was safe now We did it did it again Who loves a little rock and roll Mixed with a little bit of hip hop soul? We do Come one on a rock steady keep you rockin Get ready and say we did it we did it again Believe in the air you breathin I m a mad work freak with a freaky weekend No matter what you spend cause your just livin it up And damn if we don t do it again Come on in baby bring some friends We havin a party tonight I m bringing juice and gin you ll beat your head Swiss we did it did it again More than this nevermore you whippin boy Yeah we did it More than this nevermore you whippin boy Yeah we did it let s go Just when you thought it was over Just when you thought we were done Rip that smile right off your face Just when you thought it was over Just when you thought we were done Rip that smile right off your face Fast cars fast brauds I m a rockstar baby Born in the U S A Highway Harley Who loves a little rock and roll Mixed with a little bit of hip hop soul We do we do Now break it down break it down More than this nevermore you whippin boy Yeah we did it More than this nevermore you whippin boy Yeah we did it let s go Just when you thought it was over Just when you thought we were done Just when you thought it was safe now Yeah we did it did it again Just when you thought it was over Just when you thought we were done Just when you thought it was safe now Yeah we did it did it again Yeah you know about that time Rip that smile right off your face Rip that smile right off your face Rip that smile right off your face Rip that smile right off your face Rip that smile right off your face,Metallica
